Sidi Moumen,33.587280458339585,-7.500931050231884
Ennassim,33.58508178237927,-7.50427844708247
Mohammed Zefzaf,33.58226632282282,-7.508645083358715
Centre de maintenance,33.579288580212925,-7.513350385736089
Hôpital Sidi Moumen,33.576320973399625,-7.518006700585943
Attachourk,33.574068384448864,-7.524165052484136
Okba Ibn Nafii,33.57291525069048,-7.532533544610601
Forces auxiliaires,33.57459578157671,-7.539163965295415
Hay Raja,33.576553380025295,-7.548186916421514
Ibn Tachfine,33.5807008391867,-7.5632072869049125
Hay Mohammadi,33.58545587037252,-7.56676926047669
Achouhada,33.58894153505292,-7.567820686410528
Ali Yaata,33.59144397669552,-7.569708961557012
Grand ceinture,33.59047875780443,-7.573549884866338
Anciens abattoirs,33.59080049863477,-7.577905792306524
Bd Bahmad,33.59469704230753,-7.586596149514776
Casa Voyageurs,33.590389385138664,-7.592014211724859
Place Al Yassir,33.59293646983095,-7.597035307000738
La Résistance,33.59344587774455,-7.603086370538335
Mohamed Diouri,33.59370504903717,-7.608397144387823
Marché Central,33.59458980034188,-7.612613576959234
Place des Nations Unies,33.595242186905004,-7.6179404440628105
Place Mohammed V,33.58946884129252,-7.620080846856695
Avenue Hassan II,33.58391408915446,-7.623229760240179
Wafasalaf,33.57999024341455,-7.624892729829412
Faculté de Médecine,33.574814784521955,-7.625815409730535
Abdelmoumen,33.57081901072491,-7.625965613435369
Bachkou,33.5643601262303,-7.6272530737625175
Mekka,33.558191328768515,-7.629672426293951
Gare Oasis,33.55400702406493,-7.631292480538946
Panoramique,33.547309926617785,-7.6318718376861625
Technopark,33.54472572753166,-7.637987274240118
Zénith,33.54073750393115,-7.6428581658111625
Gare Casa Sud,33.54202520162446,-7.6509477082000785
Facultés,33.54581664453016,-7.657342094491582
Derb Ghalef,33.56995636414377,-7.631528514932256
Riviera,33.570868176850745,-7.636485237191778
Ghandi,33.568476882841196,-7.644783991883855
Beauséjour,33.564561275250796,-7.647729057382207
Anfa Clubs,33.56141435690225,-7.652868169854742
Anfa Park,33.55966204584613,-7.657352823327642
Casa Finance,33.56214745608113,-7.660979169915777
Abdellah Ben Cherif,33.56575921971241,-7.66014232070313
Cité de l'air,33.56833385007219,-7.664498228143316
Sidi Abderrahmane,33.571927476579155,-7.66939057738648
Hay Hassani,33.57678131668499,-7.67312421233521
Littoral,33.58090195013545,-7.674797910760503
Ain Diab Plage Terminus,33.587471316737954,-7.680838245462041
Al Laymoune,33.5404515,-7.6660668
TERMINUS LISSASFA,33.5356088,-7.6698766
Sidi Bernoussi Terminus,33.6101640,-7.5099640
Abi Dar El Ghafari,33.6066900,-7.5180170
Gare de Ain Sbaa,33.6074460,-7.5243780
Préfecture Ain Sbaa,33.6021530,-7.5298418
AL Amane,33.5991887,-7.5328965
Wifaq,33.5956990,-7.5380080
Dar Laman,33.5938630,-7.5573440
Carrières centrale,33.5927990,-7.5644460
Qayssariat Hay Mohammadi,33.5871070,-7.5636160
Station Mdakra,33.5813420,-7.5633130
Hay Adil,33.5792900,-7.5681150
Cimetière Achohada,33.5766330,-7.5743990
Derb Milan,33.5719870,-7.5807390
Hay El Farah,33.5717270,-7.5863320
Derb Sultan,33.5721660,-7.5958180
Place Sraghna,33.5696250,-7.6022610
El Fida,33.5665850,-7.6072450
2 Mars,33.5691340,-7.6122880
Hermitage,33.5692080,-7.6178920
Anoual,33.5694510,-7.6250620
