De Andre,43.7539766997037,11.178042278398,
Resistenza,43.7582472029352,11.1824125363523,
Resistenza,43.7583213015001,11.182555062706,
Aldo Moro,43.762115935064,11.1878568277347,
Aldo Moro,43.7621074145668,11.188046230142,
Nenni - Torregalli,43.7641278897527,11.1973699307996,
Nenni - Torregalli,43.7641328088636,11.1975881544858,
Arcipressi,43.7674125748984,11.2092346091997,
Arcipressi,43.7674947956149,11.2093585408208,
Federiga,43.7715951629734,11.2120127179521,
Talenti,43.7735547318288,11.2159185985577,
Talenti,43.77354594697,11.2160546419101,
Batoni,43.7741663701037,11.2210861637721,
Batoni,43.7741657533097,11.2212837093417,
Sansovino,43.7745318342057,11.2237636381122,
Sansovino,43.7745251451611,11.2239759706767,
Paolo Uccello,43.7751919623724,11.2284553913954,
Paolo Uccello,43.7752348129231,11.2286599614744,
Cascine,43.7771125683548,11.2324391421117,
Cascine,43.7770068106548,11.2326268244173,FM9024,
Porta Al Prato,43.7775820424214,11.2392012409011,
Alamanni - Stazione,43.7759379791433,11.2471128670373,
Valfonda,43.7775119714221,11.2490737585972,
Fortezza,43.780454845762,11.2495673194859,
Strozzi-Fallaci,43.7835462509865,11.2519739047251,
Statuto,43.7857931987781,11.2507711008285,
Guasti,43.7882876066989,11.2494115971016,
Leopoldo,43.7913588241927,11.2472867135669,
Poggetto,43.7940181156847,11.2447271687953,
Vittorio,43.795816789467,11.2416682854053,
Morgagni-Universita,43.7998659651502,11.2441974857807,
Careggi-Ospedale,43.803169431219,11.2469603974565,
Dalmazia,43.795712477349,11.2405462607155,
Rifredi,43.7931740161326,11.243706388547,
Morgagni-Universita,43.799878881114,11.2441574613133,
Leopoldo,43.7913249529732,11.2471500811836,
Guasti,43.7882773265088,11.2493834358715,
Statuto,43.7857842582322,11.2507308202468,
Strozzi-Fallaci,43.7835438689957,11.2519586362349,
Fortezza,43.7804643669454,11.249563340124,
Villa Costanza,43.7547151819862,11.17514758725,
Villa Costanza,43.7547427526468,11.1751879480372,
Unita,43.7748385627927,11.2502025301828,
Rosselli,43.7795007274453,11.2447656706742,
Belfiore,43.7818829471132,11.242865989881,
Redi,43.7852329685804,11.241908803046,
Ponteasse,43.7867118486401,11.2397944993647,
Buonsignor,43.788698425881,11.2345902050773,
Sandonato,43.7906756798269,11.2265515364734,
Regione,43.7921840760945,11.2232517152466,
Torreagli,43.7942817109577,11.2180007469683,
Palazziros,43.7964601434055,11.2137018424244,
Guidoni,43.7995055718761,11.2084118279351,
Aeroporto,43.8036164666269,11.2017507447637,
Federiga,43.7714939804125,11.2118934865075,
